"","agency","location_id","location","water_year","datetime","value","value_type","units"
"116","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-02 03:45:00,13900,"discharge","cfs"
"117","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-02 04:00:00,13600,"discharge","cfs"
"118","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-02 04:15:00,13300,"discharge","cfs"
"119","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-02 04:30:00,13000,"discharge","cfs"
"120","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-02 04:45:00,12500,"discharge","cfs"
"121","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-02 05:00:00,12000,"discharge","cfs"
"122","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-02 05:15:00,11400,"discharge","cfs"
"123","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-02 05:30:00,10700,"discharge","cfs"
"124","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-02 05:45:00,10000,"discharge","cfs"
"125","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-02 06:00:00,9160,"discharge","cfs"
"126","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-02 06:15:00,8440,"discharge","cfs"
"127","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-02 06:30:00,7540,"discharge","cfs"
"128","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-02 06:45:00,6990,"discharge","cfs"
"129","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-02 07:00:00,6490,"discharge","cfs"
"130","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-02 07:15:00,6150,"discharge","cfs"
"131","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-02 07:30:00,5470,"discharge","cfs"
"132","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-02 07:45:00,5110,"discharge","cfs"
"133","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-02 08:00:00,4870,"discharge","cfs"
"134","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-02 08:15:00,4380,"discharge","cfs"
"135","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-02 08:30:00,4250,"discharge","cfs"
"136","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-02 08:45:00,4130,"discharge","cfs"
"137","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-02 09:00:00,4160,"discharge","cfs"
"138","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-02 09:15:00,4150,"discharge","cfs"
"139","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-02 09:30:00,4390,"discharge","cfs"
"140","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-02 09:45:00,4700,"discharge","cfs"
"141","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-02 10:00:00,5030,"discharge","cfs"
"142","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-02 10:15:00,5690,"discharge","cfs"
"143","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-02 10:30:00,6580,"discharge","cfs"
"144","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-02 10:45:00,7440,"discharge","cfs"
"145","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-02 11:00:00,8150,"discharge","cfs"
"146","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-02 11:15:00,8680,"discharge","cfs"
"147","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-02 11:30:00,9190,"discharge","cfs"
"148","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-02 11:45:00,9520,"discharge","cfs"
"149","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-02 12:00:00,9950,"discharge","cfs"
"150","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-02 12:15:00,10000,"discharge","cfs"
"151","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-02 12:30:00,10300,"discharge","cfs"
"152","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-02 12:45:00,10400,"discharge","cfs"
"153","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-02 13:00:00,10600,"discharge","cfs"
"154","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-02 13:15:00,10600,"discharge","cfs"
"155","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-02 13:30:00,10700,"discharge","cfs"
"156","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-02 13:45:00,10800,"discharge","cfs"
"157","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-02 14:00:00,10800,"discharge","cfs"
"158","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-02 14:15:00,10800,"discharge","cfs"
"159","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-02 14:30:00,10700,"discharge","cfs"
"160","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-02 14:45:00,10600,"discharge","cfs"
"161","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-02 15:00:00,10500,"discharge","cfs"
"162","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-02 15:15:00,10200,"discharge","cfs"
"163","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-02 15:30:00,9910,"discharge","cfs"
"164","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-02 15:45:00,9460,"discharge","cfs"
"165","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-02 16:00:00,9210,"discharge","cfs"
"166","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-02 16:15:00,8580,"discharge","cfs"
"167","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-02 16:30:00,8030,"discharge","cfs"
"168","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-02 16:45:00,7320,"discharge","cfs"
"169","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-02 17:00:00,6510,"discharge","cfs"
"170","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-02 17:15:00,5960,"discharge","cfs"
"171","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-02 17:30:00,5340,"discharge","cfs"
"172","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-02 17:45:00,4710,"discharge","cfs"
"173","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-02 18:00:00,4190,"discharge","cfs"
"174","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-02 18:15:00,3970,"discharge","cfs"
"175","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-02 18:30:00,3800,"discharge","cfs"
"176","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-02 18:45:00,3850,"discharge","cfs"
"177","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-02 19:00:00,3980,"discharge","cfs"
"178","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-02 19:15:00,4520,"discharge","cfs"
"179","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-02 19:30:00,5160,"discharge","cfs"
"180","CDEC","FPT","Sacramento River at Freeport","2024",2023-12-02 19:45:00,5710,"discharge","cfs"
