"","agency","location_id","location","water_year","datetime","value","value_type","units"
"78","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 18:15:00,8840,"discharge","cfs"
"79","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 18:30:00,9000,"discharge","cfs"
"80","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 18:45:00,9040,"discharge","cfs"
"81","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 19:00:00,9090,"discharge","cfs"
"82","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 19:15:00,9040,"discharge","cfs"
"83","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 19:30:00,8940,"discharge","cfs"
"84","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 19:45:00,8960,"discharge","cfs"
"85","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 20:00:00,8660,"discharge","cfs"
"86","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 20:15:00,8670,"discharge","cfs"
"87","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 20:30:00,8400,"discharge","cfs"
"88","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 20:45:00,8100,"discharge","cfs"
"89","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 21:00:00,7450,"discharge","cfs"
"90","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 21:15:00,6780,"discharge","cfs"
"91","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 21:30:00,5880,"discharge","cfs"
"92","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 21:45:00,5070,"discharge","cfs"
"93","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 22:00:00,4500,"discharge","cfs"
"94","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 22:15:00,3870,"discharge","cfs"
"95","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 22:30:00,2970,"discharge","cfs"
"96","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 22:45:00,1990,"discharge","cfs"
"97","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 23:00:00,1110,"discharge","cfs"
"98","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 23:15:00,471,"discharge","cfs"
"99","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 23:30:00,25,"discharge","cfs"
"100","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-01 23:45:00,-369,"discharge","cfs"
"101","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02,-654,"discharge","cfs"
"102","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02 00:15:00,-943,"discharge","cfs"
"103","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02 00:30:00,-1040,"discharge","cfs"
"104","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02 00:45:00,-931,"discharge","cfs"
"105","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02 01:00:00,-853,"discharge","cfs"
"106","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02 01:15:00,-454,"discharge","cfs"
"107","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02 01:30:00,-76,"discharge","cfs"
"108","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02 01:45:00,398,"discharge","cfs"
"109","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02 02:00:00,1140,"discharge","cfs"
"110","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02 02:15:00,2030,"discharge","cfs"
"111","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02 02:30:00,2810,"discharge","cfs"
"112","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02 02:45:00,3690,"discharge","cfs"
"113","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02 03:00:00,4520,"discharge","cfs"
"114","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02 03:15:00,5280,"discharge","cfs"
"115","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02 03:30:00,5630,"discharge","cfs"
"116","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02 03:45:00,5990,"discharge","cfs"
"117","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02 04:00:00,6270,"discharge","cfs"
"118","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02 04:15:00,6460,"discharge","cfs"
"119","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02 04:30:00,6810,"discharge","cfs"
"120","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02 04:45:00,7010,"discharge","cfs"
"121","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02 05:00:00,7170,"discharge","cfs"
"122","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02 05:15:00,7500,"discharge","cfs"
"123","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02 05:30:00,7490,"discharge","cfs"
"124","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02 05:45:00,7540,"discharge","cfs"
"125","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02 06:00:00,7580,"discharge","cfs"
"126","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02 06:15:00,7510,"discharge","cfs"
"127","CDEC","GES","Sacramento River below Georgiana Slough","2026",2025-12-02 06:30:00,7430,"discharge","cfs"
