,tag_id_hex,necropsy_date,necropsy_done_by,tagging_date,fork_length_mm,weight_gr,incision_irritation,suture_damage,tag_damage
86,6151,5/21/2026,"AC, HS",4/28/2026,103,13.7,"suture tore skin, incision fine",No,N/A
87,9634,5/21/2026,"AC, HS",4/21/2026,105,13.2,"suture tore skin, incision fine",No,N/A
88,A42C,5/21/2026,"AC, HS",4/27/2026,103,14.5,"suture tore skin, incision fine",Yes,N/A
89,EBA7,5/21/2026,"AC, HS",4/29/2026,102,13.3,"suture tore skin, incision fine",No,N/A
90,60B2,5/21/2026,"AC, HS",4/29/2026,103,13.6,"suture tore skin, incision fine",No,N/A
91,9B64,5/21/2026,"AC, HS",4/28/2026,113,19.8,"suture tore skin, incision fine",No,N/A
92,16E4,5/21/2026,"AC, HS",4/29/2026,105,14.1,"suture tore skin, incision fine",No,N/A
93,151C,5/21/2026,"AC, HS",4/20/2026,105,16.1,"suture tore skin, incision fine",No,N/A
94,250A,5/21/2026,"AC, HS",4/27/2026,104,13.9,"suture tore skin, incision fine",No,N/A
95,9527,5/21/2026,"AC, HS",4/20/2026,101,13.6,"suture tore skin, incision fine",No,N/A
96,2A02,5/21/2026,"AC, HS",4/21/2026,99,11,"suture tore skin, incision fine",No,N/A
